publication_DOI_from_CRIS_system;DataCite_request_API;author_names;number_of_author_names;total_length_author_names;found_dataset_DOI;match_percentage_authors
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761.v1/t7;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761.v1/t6;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.5281/zenodo.1477847;0.25
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.5281/zenodo.5547992;0.25
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761.v1/t5;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761.v1/t4;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761.v1/t3;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761.v1/t2;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761.v1/t1;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761.v1;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107761;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107760.v1;0.3333333333333333
10.1177/02692163211019321;https://api.datacite.org/dois?query=Joachim+Cohen+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.17182/hepdata.107760;0.3333333333333333
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Martine+Leermakers+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sv;0.6
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Martine+Leermakers+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sl-3gb;0.4
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Martine+Leermakers+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sg;0.6
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Martine+Leermakers+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sd-3gb;0.4
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Martine+Leermakers+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sb;0.6
10.1016/j.scitotenv.2021.147075;https://api.datacite.org/dois?query=Martine+Leermakers+publicationYear:2021;['Ehab', 'Abdulbur Alfakhory', 'Natacha', 'Brion', 'Marek', 'Reichstädter', 'Martine', 'Leermakers', 'Willy', 'Baeyens'];10;80;10.48580/d4sb-3gb;0.4
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.c.5463579;1.0
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.c.5463579.v1;1.0
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.14769777;1.0
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.14769780;1.0
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.14769777.v1;1.0
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.25384/sage.14769780.v1;1.0
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.14177130.v1;0.4166666666666667
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.14177130;0.4166666666666667
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.14177127.v1;0.4166666666666667
10.1177/02692163211019321;https://api.datacite.org/dois?query=Tinne+Smets+publicationYear:2021;['Rose', 'Miranda', 'Tinne', 'Smets', 'Robrecht', 'De Schreye', 'Kristof', 'Faes', 'Joachim', 'Cohen', 'Lieve', 'Van den Block'];12;80;10.6084/m9.figshare.14177127;0.4166666666666667
