Name_1_First_name;Name_1_Last name;Name_2_First_name;Name_2_Last_name;Name_3_First_name;Name_3_Last_name;Name_4_First_name;Name_4_Last_name;Name_5_First_name;Name_5_Last_name;Name_6_First_name;Name_6_Last_name;DOI
Ehab;Abdulbur Alfakhory;Natacha;Brion;Marek;Reichstädter;Martine;Leermakers;Willy;Baeyens;;;10.1016/j.scitotenv.2021.147075
Rose;Miranda;Tinne;Smets;Robrecht;De Schreye;Kristof;Faes;Joachim;Cohen;Lieve;Van den Block;10.1177/02692163211019321
